iter	Passed	Remaining
447	1104	1361
448	1106	1358
449	1107	1354
450	1109	1350
451	1110	1346
452	1111	1342
453	1113	1338
454	1114	1334
455	1117	1333
456	1119	1329
457	1120	1326
458	1121	1322
459	1123	1318
460	1124	1314
461	1125	1310
462	1127	1307
463	1128	1303
464	1131	1302
465	1133	1298
466	1135	1295
467	1136	1291
468	1137	1287
469	1139	1284
470	1140	1280
471	1141	1276
472	1142	1273
473	1144	1270
474	1146	1267
475	1147	1263
476	1149	1260
477	1150	1256
478	1152	1253
479	1153	1249
480	1154	1246
481	1156	1242
482	1158	1239
483	1160	1237
484	1162	1234
485	1163	1230
486	1165	1227
487	1166	1224
488	1168	1220
489	1169	1217
490	1170	1213
491	1174	1212
492	1176	1210
493	1178	1207
494	1180	1203
495	1181	1200
496	1183	1197
497	1185	1194
498	1187	1192
499	1189	1189
500	1191	1186
501	1192	1183
502	1194	1180
503	1195	1176
504	1196	1173
505	1198	1169
506	1199	1166
507	1200	1162
508	1203	1160
509	1204	1157
510	1206	1154
511	1209	1152
512	1210	1149
513	1212	1146
514	1213	1142
515	1214	1139
516	1217	1137
517	1219	1134
518	1221	1131
519	1222	1128
520	1223	1124
521	1224	1121
522	1226	1118
523	1227	1114
524	1228	1111
525	1231	1109
526	1233	1106
527	1235	1104
528	1236	1100
529	1237	1097
530	1239	1094
531	1240	1091
532	1241	1088
533	1243	1084
534	1246	1083
535	1248	1080
536	1250	1077
537	1251	1074
538	1252	1071
539	1254	1068
540	1255	1065
541	1256	1062
542	1258	1059
543	1260	1056
544	1262	1053
545	1263	1050
546	1264	1047
547	1266	1044
548	1267	1041
549	1268	1038
550	1270	1034
551	1272	1032
552	1274	1030
553	1277	1028
554	1278	1025
555	1280	1022
556	1282	1019
557	1284	1017
558	1285	1014
559	1288	1012
560	1290	1009
561	1292	1006
562	1293	1003
563	1294	1000
564	1296	997
565	1297	994
566	1298	991
567	1299	988
568	1302	986
569	1304	983
570	1305	981
571	1307	978
572	1308	975
573	1310	972
574	1311	969
575	1312	966
576	1313	963
577	1316	961
578	1318	958
579	1319	955
580	1321	952
581	1322	949
582	1323	946
583	1325	943
584	1326	940
585	1327	937
586	1330	936
587	1332	933
588	1333	930
589	1335	927
590	1336	925
591	1337	922
592	1339	919
593	1340	916
594	1341	913
595	1344	911
596	1346	908
597	1348	906
598	1349	903
599	1351	900
600	1352	897
601	1353	895
602	1355	892
603	1356	889
604	1358	887
605	1360	884
606	1363	882
607	1365	880
608	1366	877
609	1368	874
610	1370	872
611	1371	869
612	1374	867
613	1376	865
614	1377	862
615	1379	859
616	1380	856
617	1381	854
618	1383	851
619	1384	848
620	1388	847
621	1390	845
622	1392	842
623	1393	839
624	1395	837
625	1396	834
626	1397	831
627	1399	828
628	1401	826
629	1403	824
630	1404	821
631	1406	818
632	1407	816
633	1408	813
634	1410	810
635	1411	807
636	1412	805
637	1413	802
638	1416	800
639	1418	797
640	1420	795
641	1421	792
642	1422	789
643	1423	787
644	1425	784
645	1427	782
646	1431	781
647	1435	779
648	1437	777
649	1439	774
650	1440	772
651	1442	769
652	1444	767
653	1446	765
654	1449	763
655	1451	760
656	1452	758
657	1454	755
658	1456	753
659	1457	750
660	1460	748
661	1461	746
662	1464	744
663	1465	741
664	1466	738
665	1468	736
666	1469	733
667	1470	730
668	1471	728
669	1474	726
670	1476	723
671	1478	721
672	1479	718
673	1480	716
674	1481	713
675	1483	710
676	1484	708
677	1485	705
678	1488	703
679	1490	701
680	1492	699
681	1493	696
682	1494	693
683	1496	691
684	1497	688
685	1498	686
686	1500	683
687	1503	681
688	1505	679
689	1507	677
690	1509	674
691	1510	672
692	1511	669
693	1513	667
694	1514	664
695	1516	662
696	1518	660
697	1520	657
698	1521	655
699	1522	652
700	1524	650
701	1525	647
702	1526	645
703	1527	642
704	1529	640
705	1531	637
706	1533	635
707	1534	632
708	1536	630
709	1537	627
710	1538	625
711	1539	622
712	1541	620
713	1544	618
714	1546	616
715	1548	614
716	1550	611
717	1551	609
718	1553	607
719	1554	604
720	1556	602
721	1559	600
722	1561	598
723	1562	595
724	1563	593
725	1565	590
726	1566	588
727	1567	585
728	1569	583
729	1570	580
730	1573	578
731	1574	576
732	1576	574
733	1578	571
734	1579	569
735	1580	566
736	1582	564
737	1583	562
738	1584	559
739	1587	557
740	1589	555
741	1590	553
742	1591	550
743	1593	548
744	1594	545
745	1595	543
746	1597	540
747	1598	538
748	1602	537
749	1604	534
750	1606	532
751	1607	530
752	1608	527
753	1610	525
754	1611	522
755	1612	520
756	1614	518
757	1616	516
758	1618	513
759	1619	511
760	1621	509
761	1622	506
762	1623	504
763	1625	502
764	1626	499
765	1627	497
766	1630	495
767	1632	493
768	1634	490
769	1635	488
770	1637	486
771	1639	484
772	1641	481
773	1643	479
774	1645	477
775	1647	475
776	1648	473
777	1649	470
778	1651	468
779	1652	466
780	1654	463
781	1655	461
782	1657	459
783	1659	457
784	1661	454
785	1662	452
786	1663	450
787	1665	448
788	1666	445
789	1667	443
790	1669	441
791	1670	438
792	1673	436
793	1674	434
794	1676	432
795	1677	430
796	1679	427
797	1680	425
798	1681	423
799	1683	420
800	1684	418
801	1687	416
802	1688	414
